SPONSOR,CATEGORY,AIRDATE,AIRTIME,PROGRAM,AFFILIATION,TONE
"PRYOR, MARK",US SENATE,20130603,1820,KNWA 6 PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0527,KNWA EARLY TODAY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0647,KNWA TODAY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0858,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,2223,THV11 NEWS AT 10,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1220,THV11 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0620,THV11 THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0512,THV11 THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,0959,FACELIFT IN A FLASH,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1844,THV11 NEWS AT 6:30,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1811,THV11 NEWS AT 6,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1728,THV11 NEWS AT 5,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,1511,DR PHIL,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130603,2332,LATE SHOW/DAVID LTTRMN,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1617,JUDGE JUDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0543,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1725,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0658,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0721,TODAY SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1846,ENTERTAINMENT TONIGHT,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0855,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1035,VIEW-ABC,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1154,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0624,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1850,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0549,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1823,CHANNEL 7 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,2224,CHANNEL 7 NEWS NIGHTSIDE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0529,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0553,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0624,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,2223,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1722,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1811,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0641,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1211,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1635,JEOPARDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0727,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0854,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,2034,NCIS: LOS ANGELES,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,2159,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,2213,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1721,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,2123,FOX 16 NEWS AT 9:00PM,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0759,TODAY SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0507,KNWA EARLY TODAY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1723,KNWA 5PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,2224,KNWA 10 PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1946,NCIS-CBS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1631,ELLEN DEGENERES SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1715,THV11 NEWS AT 5,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0959,HOT NEW HAIRSTYLES FOR S,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1822,THV11 NEWS AT 6,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1847,THV11 NEWS AT 6:30,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0618,THV11 THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0544,THV11 THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,1216,THV11 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,2234,THV11 NEWS AT 10,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130604,0853,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0611,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2021,LAW & ORDER: SPECIAL VIC,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2224,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0728,TODAY SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1721,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0513,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0628,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1622,JUDGE JUDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1709,FAMILY FEUD,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1815,CHANNEL 7 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2224,CHANNEL 7 NEWS NIGHTSIDE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0644,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0950,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1842,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1029,VIEW-ABC,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0854,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0755,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1628,INSIDE EDITION,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2312,LATE SHOW/DAVID LTTRMN,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2230,NEWS,DEMOCRAT,POSITIVE
