DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/10/2016,13:21,MANHATTAN,10027,40.8121449,-73.9460108,"(40.8121449, -73.9460108)",WEST 130 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3368022,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
01/10/2016,13:25,BROOKLYN,11230,40.6275718,-73.9618455,"(40.6275718, -73.9618455)",EAST 15 STREET,AVENUE I,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368174,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,13:26,BROOKLYN,11239,40.6546865,-73.8777126,"(40.6546865, -73.8777126)",GATEWAY DRIVE,VANDALIA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368205,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:28,MANHATTAN,10016,40.7509597,-73.9827227,"(40.7509597, -73.9827227)",EAST 38 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3367970,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:28,QUEENS,11372,40.7554911,-73.8860819,"(40.7554911, -73.8860819)",,,81-13 NORTHERN BLVD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368437,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:30,QUEENS,11432,40.7100129,-73.7947294,"(40.7100129, -73.7947294)",HILLSIDE AVENUE,168 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368344,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,13:30,,,,,,CENTRE STREET,CHAMBERS SQUARE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368245,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:30,,,40.7087666,-73.9981083,"(40.7087666, -73.9981083)",,,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3367940,PASSENGER VEHICLE,,,,
01/10/2016,13:35,,,,,,,,1752 SHORE PKWY (PARKING LOT),0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3368682,OTHER,PASSENGER VEHICLE,,,
01/10/2016,13:40,MANHATTAN,10019,40.768439,-73.9890504,"(40.768439, -73.9890504)",10 AVENUE,WEST 56 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3367988,PASSENGER VEHICLE,TAXI,,,
