DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2016,6:28,QUEENS,11102,40.7661526,-73.9197778,"(40.7661526, -73.9197778)",30 AVENUE,33 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3364424,TAXI,TAXI,,,
01/01/2016,6:20,BROOKLYN,11238,40.6792042,-73.9552939,"(40.6792042, -73.9552939)",FRANKLIN AVENUE,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3364238,TAXI,PASSENGER VEHICLE,,,
01/01/2016,6:17,QUEENS,11372,40.7557548,-73.8835079,"(40.7557548, -73.8835079)",84 STREET,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3364456,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2016,6:15,MANHATTAN,10002,40.7187947,-73.9890116,"(40.7187947, -73.9890116)",LUDLOW STREET,DELANCEY STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3363361,PASSENGER VEHICLE,TAXI,,,
01/01/2016,6:10,BROOKLYN,11211,40.7125256,-73.9625508,"(40.7125256, -73.9625508)",SOUTH 3 STREET,BEDFORD AVENUE,,2,0,0,0,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,,,,3363865,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2016,6:10,MANHATTAN,10026,40.8031164,-73.9563196,"(40.8031164, -73.9563196)",8 AVENUE,WEST 114 STREET,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,,3363663,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
01/01/2016,6:10,QUEENS,11372,40.747658,-73.8837567,"(40.747658, -73.8837567)",,,82-07 ROOSEVELT AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3363996,PASSENGER VEHICLE,VAN,,,
01/01/2016,6:00,BROOKLYN,11223,40.5905415,-73.9702235,"(40.5905415, -73.9702235)",AVENUE X,WEST STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Unspecified,Unspecified,,3363477,UNKNOWN,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
01/01/2016,5:55,MANHATTAN,10034,40.8641128,-73.9212504,"(40.8641128, -73.9212504)",WEST 204 STREET,POST AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Lost Consciousness,,,,3365175,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,5:50,BROOKLYN,11208,40.6745324,-73.8688365,"(40.6745324, -73.8688365)",BELMONT AVENUE,HEMLOCK STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3363805,TAXI,TAXI,,,
